DEB [20241222-14:45:00.359] thr=1   paramiko.transport: starting thread (client mode): 0x9f915400
DEB [20241222-14:45:00.510] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-14:45:00.511] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-14:45:00.511] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-14:45:00.511] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-14:45:00.529] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20241222-14:45:00.555] thr=2   paramiko.transport: Trying SSH agent key b'8a81fa34aeacf558a34d45b63150e116'
DEB [20241222-14:45:00.555] thr=1   paramiko.transport: userauth is OK
INF [20241222-14:45:00.592] thr=1   paramiko.transport: Authentication (publickey) failed.
DEB [20241222-14:45:00.646] thr=1   paramiko.transport: EOF in transport thread
DEB [20241222-15:56:12.540] thr=1   paramiko.transport: starting thread (client mode): 0xebbd9400
DEB [20241222-15:56:12.541] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-15:56:12.587] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-15:56:12.587] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-15:56:12.627] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-15:56:12.627] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: kex follows: False
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: Compression: none
DEB [20241222-15:56:12.628] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-15:56:12.637] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-15:56:12.638] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-15:56:12.638] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-15:56:12.638] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-15:56:12.639] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-15:56:12.639] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-15:56:12.671] thr=1   paramiko.transport: EOF in transport thread
DEB [20241222-15:57:43.494] thr=1   paramiko.transport: starting thread (client mode): 0x6056d400
DEB [20241222-15:57:43.495] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-15:57:43.542] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-15:57:43.542] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-15:57:43.592] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-15:57:43.592] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-15:57:43.592] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-15:57:43.592] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-15:57:43.592] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-15:57:43.592] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-15:57:43.592] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-15:57:43.592] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-15:57:43.592] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-15:57:43.592] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-15:57:43.593] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-15:57:43.593] thr=1   paramiko.transport: kex follows: False
DEB [20241222-15:57:43.593] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-15:57:43.593] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-15:57:43.593] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-15:57:43.593] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-15:57:43.593] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-15:57:43.593] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-15:57:43.593] thr=1   paramiko.transport: Compression: none
DEB [20241222-15:57:43.593] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-15:57:43.599] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-15:57:43.599] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-15:57:43.599] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-15:57:43.599] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-15:57:43.600] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-15:57:43.600] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-15:57:43.618] thr=1   paramiko.transport: EOF in transport thread
DEB [20241222-15:58:35.033] thr=1   paramiko.transport: starting thread (client mode): 0x17d5400
DEB [20241222-15:58:35.034] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-15:58:35.071] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-15:58:35.071] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: kex follows: False
DEB [20241222-15:58:35.113] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-15:58:35.114] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-15:58:35.114] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-15:58:35.114] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-15:58:35.114] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-15:58:35.114] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-15:58:35.114] thr=1   paramiko.transport: Compression: none
DEB [20241222-15:58:35.114] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-15:58:35.120] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-15:58:35.120] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-15:58:35.120] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-15:58:35.121] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-15:58:35.121] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-15:58:35.121] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-15:58:35.440] thr=2   paramiko.transport: Trying discovered key b'921eabfd1b59d54a8f61d08725a20c03' in C:/Users/arte/.ssh/id_rsa_localhost
DEB [20241222-15:58:35.441] thr=1   paramiko.transport: userauth is OK
DEB [20241222-15:58:35.441] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-15:58:35.441] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-15:58:35.441] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-15:58:35.441] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-15:58:35.481] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20241222-15:58:35.557] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20241222-15:58:35.558] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20241222-15:58:50.323] thr=1   paramiko.transport: EOF in transport thread
DEB [20241222-16:04:19.848] thr=1   paramiko.transport: starting thread (client mode): 0x1e6c5400
DEB [20241222-16:04:19.849] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-16:04:19.887] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-16:04:19.887] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-16:04:19.928] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-16:04:19.929] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-16:04:19.929] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-16:04:19.929] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-16:04:19.929] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-16:04:19.929] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-16:04:19.929] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-16:04:19.929] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-16:04:19.929] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-16:04:19.930] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-16:04:19.930] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-16:04:19.930] thr=1   paramiko.transport: kex follows: False
DEB [20241222-16:04:19.930] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-16:04:19.930] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-16:04:19.930] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20241222-16:04:19.930] thr=1   paramiko.transport: HostKey: ssh-ed25519
DEB [20241222-16:04:19.930] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20241222-16:04:19.930] thr=1   paramiko.transport: MAC: hmac-sha2-256
DEB [20241222-16:04:19.930] thr=1   paramiko.transport: Compression: none
DEB [20241222-16:04:19.930] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20241222-16:04:19.936] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20241222-16:04:19.936] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20241222-16:04:19.936] thr=1   paramiko.transport: Switch to new keys ...
DEB [20241222-16:04:19.936] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20241222-16:04:19.937] thr=2   paramiko.transport: Adding ssh-ed25519 host key for localhost: b'74eb7496e2cedf5bb043a19dcc68f534'
DEB [20241222-16:04:19.937] thr=1   paramiko.transport: Got EXT_INFO: {'server-sig-algs': b'ssh-ed25519,sk-ssh-ed25519@openssh.com,ecdsa-sha2-nistp256,ecdsa-sha2-nistp384,ecdsa-sha2-nistp521,sk-ecdsa-sha2-nistp256@openssh.com,webauthn-sk-ecdsa-sha2-nistp256@openssh.com,ssh-dss,ssh-rsa,rsa-sha2-256,rsa-sha2-512', 'publickey-hostbound@openssh.com': b'0', 'ping@openssh.com': b'0'}
DEB [20241222-16:04:20.268] thr=2   paramiko.transport: Trying discovered key b'921eabfd1b59d54a8f61d08725a20c03' in C:/Users/arte/.ssh/id_rsa_localhost
DEB [20241222-16:04:20.268] thr=1   paramiko.transport: userauth is OK
DEB [20241222-16:04:20.269] thr=1   paramiko.transport: Finalizing pubkey algorithm for key of type 'ssh-rsa'
DEB [20241222-16:04:20.269] thr=1   paramiko.transport: Our pubkey algorithm list: ['rsa-sha2-512', 'rsa-sha2-256', 'ssh-rsa']
DEB [20241222-16:04:20.269] thr=1   paramiko.transport: Server-side algorithm list: ['ssh-ed25519', 'sk-ssh-ed25519@openssh.com', 'ecdsa-sha2-nistp256', 'ecdsa-sha2-nistp384', 'ecdsa-sha2-nistp521', 'sk-ecdsa-sha2-nistp256@openssh.com', 'webauthn-sk-ecdsa-sha2-nistp256@openssh.com', 'ssh-dss', 'ssh-rsa', 'rsa-sha2-256', 'rsa-sha2-512']
DEB [20241222-16:04:20.269] thr=1   paramiko.transport: Agreed upon 'rsa-sha2-512' pubkey algorithm
INF [20241222-16:04:20.297] thr=1   paramiko.transport: Authentication (publickey) successful!
DEB [20241222-16:04:20.363] thr=1   paramiko.transport: Received global request "hostkeys-00@openssh.com"
DEB [20241222-16:04:20.364] thr=1   paramiko.transport: Rejecting "hostkeys-00@openssh.com" global request from server.
DEB [20241222-16:04:31.021] thr=1   paramiko.transport: EOF in transport thread
DEB [20241222-16:28:10.273] thr=1   paramiko.transport: starting thread (client mode): 0xb6619400
DEB [20241222-16:28:10.274] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_3.5.0
DEB [20241222-16:28:10.319] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20241222-16:28:10.319] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20241222-16:28:10.359] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20241222-16:28:10.359] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, kex-strict-s-v00@openssh.com
DEB [20241222-16:28:10.359] thr=1   paramiko.transport: server key: rsa-sha2-512, rsa-sha2-256, ecdsa-sha2-nistp256, ssh-ed25519
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: client compress: none, zlib@openssh.com
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: server compress: none, zlib@openssh.com
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: client lang: <none>
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: server lang: <none>
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: kex follows: False
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: Strict kex mode: True
DEB [20241222-16:28:10.360] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
